ts	phase	decision	why	evidence	result
2026-09-12T15:18:26Z	stack	terra-draw 1.33 for annotations, not mapbox-gl-draw	mapbox-gl-draw hardcodes mapboxgl-* CSS classes so the toolbar goes dead under MapLibre	recon report section 6	settled
2026-09-12T15:25:17Z	data	isobaths already exist as 1m vectors, dropping the gdal_contour plan	ICGC publishes batimetria_5000.fgb, spatially indexed FlatGeobuf, range-readable, with ready-made generalisation tiers	datacloud.icgc.cat/datacloud/batimetria/fgb_unzip/	supersedes the earlier bake-with-gdal row
2026-09-12T15:25:17Z	data	DEM for the hillshade is a 3.33GB COG, clip by range request	1m float32 EPSG:25831; downloading all of it to render Catalonia is not worth 3.3GB	batimetria-v2r1-elevacions-2021-2025.tif, HTTP 206 verified	settled
2026-09-12T15:25:17Z	data	habitats come from the gencat WFS, not a download page	there is no download page; the project viewer's own button is a GetFeature call	sig.gencat.cat/ows/HABITATS/wfs, 50436 features Catalonia-wide	VERIFIED
2026-09-12T15:25:18Z	data	33 habitat classes and 20 substrate classes drive the texture palette	transcribed from the v1r0 specs; raster value is the join key	recon report section 3	settled
2026-09-12T15:25:18Z	data	map carries a not-for-navigation disclaimer	ICGC bathymetry metadata says verbatim it may not be used for maritime navigation	ICGC metadata, recon section 5	REQUIRED
2026-09-12T15:25:18Z	data	everything is CC BY 4.0, derived tiles can be published	ICGC reuse page states it plainly and gives a derived-work attribution template	icgc.cat reutilitzacio-de-la-informacio	settled
2026-09-12T15:25:18Z	risk	habitat class accuracy is only 40% per class by the spec's own confusion matrix	the map must not imply a polygon's class is certain	habitats-marins v1r0 spec	open, needs a UI treatment
2026-09-12T15:27:39Z	verify	clipped 2673 isobaths around Tamariu straight off the remote 592MB file in 7 seconds	proves the range-read pipeline before I build anything on it; COTA is the attribute, 1m steps from 0 to -59	ogr2ogr /vsicurl -spat	VERIFIED
2026-09-12T15:27:39Z	verify	pulled 310 habitat polygons for the same bbox, 39 of them Posidonia	checked the WFS myself rather than trusting the recon summary	sig.gencat.cat WFS, http 200, 2.6MB	VERIFIED
2026-09-12T15:27:39Z	domain	print geometry is specified by map scale, not zoom	an instructor sets 1:2000 and trusts the scale bar; zoom is derived from scale, latitude and dpi	src/lib/domain/print.ts, 5 tests green	VERIFIED
2026-09-12T15:55:17Z	scope	textures ship at several resolutions, not one	user wants 512 for phones and full 2048 for a powerful machine or a print run	user message 2	settled
2026-09-12T15:55:17Z	scope	MIT licence on the repo	user's call	user message 2	settled
2026-09-12T15:55:17Z	scope	everything vector where it can be; textures are raster patterns masked by vector polygons	user asked for vector layers; MapLibre fill-pattern is exactly a raster fill clipped to a vector polygon, so both hold	user message 2	settled
2026-09-12T15:55:17Z	scope	offline support is a hard requirement, not a nicety	divers open this on a boat with no signal	user message 2	open
2026-09-12T15:55:17Z	scope	GitHub Pages, static, custom domain divemap.mauri.app	free hosting, no server; rules out any runtime tile service	user message 2	settled
2026-09-12T15:55:17Z	scope	print framing is a draggable crop overlay over the live map	user frames each sheet by hand and may print an area with no dive site in it	user message 2	settled
2026-09-12T15:55:17Z	scope	disclaimer wording is scuba orientation, not marine navigation	user confirmed the use; ICGC's restriction is about navigation	user message 2	settled
2026-09-12T16:09:28Z	build	fanned out four agents on disjoint file scopes	DEM tiles, vector tiles, OSM plus coastline, and deploy plus offline share no files; I kept the visual direction and map style	4 background poteto-agents	running
2026-09-12T16:16:37Z	domain	one lookup resolves a seabed code from either published catalogue	the live substrate layer returns 30509, 30512 and 30513, which are seagrass classes the substrate spec never defines; a test over a fixture of real codes now fails if that drifts	src/lib/domain/habitat.spec.ts, 13 tests green	VERIFIED
